ID,plant_name,breakdowns,L3,L4,ind
Raw Sugar:Raw Sugar  Discharge,Baltimore,8.0682,Raw Sugar,Raw Sugar  Discharge,0
Raw Sugar:Raw Sugar  Discharge,Chalmette,4.1764,Raw Sugar,Raw Sugar  Discharge,0
Raw Sugar:Raw Sugar  Discharge,Crockett,14.0676,Raw Sugar,Raw Sugar  Discharge,0
Raw Sugar:Raw Sugar  Discharge,Toronto,2.0581,Raw Sugar,Raw Sugar  Discharge,0
Raw Sugar:Raw Sugar  Discharge,Yonkers,3.2622,Raw Sugar,Raw Sugar  Discharge,0
Raw Sugar:Raw Sugar Conveying,Baltimore,6.973,Raw Sugar,Raw Sugar Conveying,0
Raw Sugar:Raw Sugar Conveying,Chalmette,6.9115,Raw Sugar,Raw Sugar Conveying,0
Raw Sugar:Raw Sugar Conveying,Crockett,7.3734,Raw Sugar,Raw Sugar Conveying,0
Raw Sugar:Raw Sugar Conveying,Toronto,6.9669,Raw Sugar,Raw Sugar Conveying,0
Raw Sugar:Raw Sugar Conveying,Yonkers,9.2979,Raw Sugar,Raw Sugar Conveying,0
Raw Sugar:Raw Sugar Mobile Equipment,Baltimore,6.0943,Raw Sugar,Raw Sugar Mobile Equipment,0
Raw Sugar:Raw Sugar Mobile Equipment,Chalmette,0,Raw Sugar,Raw Sugar Mobile Equipment,0
Raw Sugar:Raw Sugar Mobile Equipment,Crockett,0,Raw Sugar,Raw Sugar Mobile Equipment,0
Raw Sugar:Raw Sugar Mobile Equipment,Toronto,0,Raw Sugar,Raw Sugar Mobile Equipment,0
Raw Sugar:Raw Sugar Mobile Equipment,Yonkers,0,Raw Sugar,Raw Sugar Mobile Equipment,0
Refining:Acid,Baltimore,0,Refining,Acid,1
Refining:Acid,Chalmette,0,Refining,Acid,1
Refining:Acid,Crockett,0.5006,Refining,Acid,1
Refining:Acid,Toronto,1.4343,Refining,Acid,1
Refining:Acid,Yonkers,0.6375,Refining,Acid,1
Refining:Affination Mingling and Melting,Baltimore,34.0307,Refining,Affination Mingling and Melting,1
Refining:Affination Mingling and Melting,Chalmette,27.4755,Refining,Affination Mingling and Melting,1
Refining:Affination Mingling and Melting,Crockett,33.8073,Refining,Affination Mingling and Melting,1
Refining:Affination Mingling and Melting,Toronto,31.2669,Refining,Affination Mingling and Melting,1
Refining:Affination Mingling and Melting,Yonkers,23.4878,Refining,Affination Mingling and Melting,1
Refining:Clarification,Baltimore,6.1168,Refining,Clarification,1
Refining:Clarification,Chalmette,3.3001,Refining,Clarification,1
Refining:Clarification,Crockett,16.266,Refining,Clarification,1
Refining:Clarification,Toronto,8.8627,Refining,Clarification,1
Refining:Clarification,Yonkers,10.1969,Refining,Clarification,1
Refining:Dust Collection,Baltimore,0,Refining,Dust Collection,1
Refining:Dust Collection,Chalmette,0,Refining,Dust Collection,1
Refining:Dust Collection,Crockett,0,Refining,Dust Collection,1
Refining:Dust Collection,Toronto,3.1399,Refining,Dust Collection,1
Refining:Dust Collection,Yonkers,0.2727,Refining,Dust Collection,1
Refining:Evaporation,Baltimore,7.3862,Refining,Evaporation,1
Refining:Evaporation,Chalmette,4.4957,Refining,Evaporation,1
Refining:Evaporation,Crockett,12.3166,Refining,Evaporation,1
Refining:Evaporation,Toronto,7.8962,Refining,Evaporation,1
Refining:Evaporation,Yonkers,6.749,Refining,Evaporation,1
Refining:Filtration,Baltimore,41.4717,Refining,Filtration,1
Refining:Filtration,Chalmette,34.5962,Refining,Filtration,1
Refining:Filtration,Crockett,47.528,Refining,Filtration,1
Refining:Filtration,Toronto,44.6185,Refining,Filtration,1
Refining:Filtration,Yonkers,13.876,Refining,Filtration,1
Refining:High Pressure Water System,Baltimore,0.3882,Refining,High Pressure Water System,1
Refining:High Pressure Water System,Chalmette,0,Refining,High Pressure Water System,1
Refining:High Pressure Water System,Crockett,0,Refining,High Pressure Water System,1
Refining:High Pressure Water System,Toronto,0,Refining,High Pressure Water System,1
Refining:High Pressure Water System,Yonkers,0,Refining,High Pressure Water System,1
Refining:Lime ,Baltimore,4.6433,Refining,Lime ,1
Refining:Lime ,Chalmette,3.6047,Refining,Lime ,1
Refining:Lime ,Crockett,3.7425,Refining,Lime ,1
Refining:Lime ,Toronto,6.3797,Refining,Lime ,1
Refining:Lime ,Yonkers,0.755,Refining,Lime ,1
Refining:Melted Finals,Baltimore,0.623,Refining,Melted Finals,1
Refining:Melted Finals,Chalmette,0.3507,Refining,Melted Finals,1
Refining:Melted Finals,Crockett,0,Refining,Melted Finals,1
Refining:Melted Finals,Toronto,0,Refining,Melted Finals,1
Refining:Melted Finals,Yonkers,1.676,Refining,Melted Finals,1
Refining:Melted Finals Spinning ,Baltimore,4.8631,Refining,Melted Finals Spinning ,1
Refining:Melted Finals Spinning ,Chalmette,0,Refining,Melted Finals Spinning ,1
Refining:Melted Finals Spinning ,Crockett,0,Refining,Melted Finals Spinning ,1
Refining:Melted Finals Spinning ,Toronto,0,Refining,Melted Finals Spinning ,1
Refining:Melted Finals Spinning ,Yonkers,0.7876,Refining,Melted Finals Spinning ,1
Refining:Remelt,Baltimore,8.7501,Refining,Remelt,1
Refining:Remelt,Chalmette,3.7629,Refining,Remelt,1
Refining:Remelt,Crockett,9.666,Refining,Remelt,1
Refining:Remelt,Toronto,0,Refining,Remelt,1
Refining:Remelt,Yonkers,1.3252,Refining,Remelt,1
Refining:Remelt Boiling,Baltimore,2.845,Refining,Remelt Boiling,1
Refining:Remelt Boiling,Chalmette,5.4577,Refining,Remelt Boiling,1
Refining:Remelt Boiling,Crockett,9.1499,Refining,Remelt Boiling,1
Refining:Remelt Boiling,Toronto,6.2253,Refining,Remelt Boiling,1
Refining:Remelt Boiling,Yonkers,8.1392,Refining,Remelt Boiling,1
Refining:Remelt Mixing,Baltimore,1.7903,Refining,Remelt Mixing,1
Refining:Remelt Mixing,Chalmette,2.9079,Refining,Remelt Mixing,1
Refining:Remelt Mixing,Crockett,2.4998,Refining,Remelt Mixing,1
Refining:Remelt Mixing,Toronto,4.3498,Refining,Remelt Mixing,1
Refining:Remelt Mixing,Yonkers,1.4757,Refining,Remelt Mixing,1
Refining:Remelt Spinning,Baltimore,6.1366,Refining,Remelt Spinning,1
Refining:Remelt Spinning,Chalmette,4.424,Refining,Remelt Spinning,1
Refining:Remelt Spinning,Crockett,10.2084,Refining,Remelt Spinning,1
Refining:Remelt Spinning,Toronto,11.75,Refining,Remelt Spinning,1
Refining:Remelt Spinning,Yonkers,8.3294,Refining,Remelt Spinning,1
Refining:Soft Sugar Boiling,Baltimore,1.9051,Refining,Soft Sugar Boiling,1
Refining:Soft Sugar Boiling,Chalmette,2.2726,Refining,Soft Sugar Boiling,1
Refining:Soft Sugar Boiling,Crockett,3.8856,Refining,Soft Sugar Boiling,1
Refining:Soft Sugar Boiling,Toronto,0,Refining,Soft Sugar Boiling,1
Refining:Soft Sugar Boiling,Yonkers,0,Refining,Soft Sugar Boiling,1
Refining:Soft Sugar Mixing,Baltimore,0.6284,Refining,Soft Sugar Mixing,1
Refining:Soft Sugar Mixing,Chalmette,0,Refining,Soft Sugar Mixing,1
Refining:Soft Sugar Mixing,Crockett,0.6462,Refining,Soft Sugar Mixing,1
Refining:Soft Sugar Mixing,Toronto,0,Refining,Soft Sugar Mixing,1
Refining:Soft Sugar Mixing,Yonkers,2.4162,Refining,Soft Sugar Mixing,1
Refining:Soft Sugar Spinning,Baltimore,7.3425,Refining,Soft Sugar Spinning,1
Refining:Soft Sugar Spinning,Chalmette,7.7261,Refining,Soft Sugar Spinning,1
Refining:Soft Sugar Spinning,Crockett,8.6364,Refining,Soft Sugar Spinning,1
Refining:Soft Sugar Spinning,Toronto,0,Refining,Soft Sugar Spinning,1
Refining:Soft Sugar Spinning,Yonkers,8.2171,Refining,Soft Sugar Spinning,1
Refining:White Sugar Boiling,Baltimore,11.7087,Refining,White Sugar Boiling,1
Refining:White Sugar Boiling,Chalmette,12.4922,Refining,White Sugar Boiling,1
Refining:White Sugar Boiling,Crockett,15.6881,Refining,White Sugar Boiling,1
Refining:White Sugar Boiling,Toronto,22.2243,Refining,White Sugar Boiling,1
Refining:White Sugar Boiling,Yonkers,10.455,Refining,White Sugar Boiling,1
Refining:White Sugar Conditioning,Baltimore,4.5467,Refining,White Sugar Conditioning,1
Refining:White Sugar Conditioning,Chalmette,0,Refining,White Sugar Conditioning,1
Refining:White Sugar Conditioning,Crockett,8.9595,Refining,White Sugar Conditioning,1
Refining:White Sugar Conditioning,Toronto,17.2426,Refining,White Sugar Conditioning,1
Refining:White Sugar Conditioning,Yonkers,0.1522,Refining,White Sugar Conditioning,1
Refining:White Sugar Drying,Baltimore,7.5239,Refining,White Sugar Drying,1
Refining:White Sugar Drying,Chalmette,16.4053,Refining,White Sugar Drying,1
Refining:White Sugar Drying,Crockett,18.8815,Refining,White Sugar Drying,1
Refining:White Sugar Drying,Toronto,15.4152,Refining,White Sugar Drying,1
Refining:White Sugar Drying,Yonkers,23.0981,Refining,White Sugar Drying,1
Refining:White Sugar Mixing,Baltimore,2.2913,Refining,White Sugar Mixing,1
Refining:White Sugar Mixing,Chalmette,0,Refining,White Sugar Mixing,1
Refining:White Sugar Mixing,Crockett,4.2238,Refining,White Sugar Mixing,1
Refining:White Sugar Mixing,Toronto,3.1711,Refining,White Sugar Mixing,1
Refining:White Sugar Mixing,Yonkers,0,Refining,White Sugar Mixing,1
Refining:White Sugar Spinning,Baltimore,25.7377,Refining,White Sugar Spinning,1
Refining:White Sugar Spinning,Chalmette,27.137,Refining,White Sugar Spinning,1
Refining:White Sugar Spinning,Crockett,41.3479,Refining,White Sugar Spinning,1
Refining:White Sugar Spinning,Toronto,33.9471,Refining,White Sugar Spinning,1
Refining:White Sugar Spinning,Yonkers,25.1772,Refining,White Sugar Spinning,1
Liquid:Invert,Baltimore,1.5613,Liquid,Invert,2
Liquid:Invert,Chalmette,1.8933,Liquid,Invert,2
Liquid:Invert,Crockett,0,Liquid,Invert,2
Liquid:Invert,Toronto,6.838,Liquid,Invert,2
Liquid:Invert,Yonkers,1.1829,Liquid,Invert,2
Liquid:Molasses,Baltimore,3.6031,Liquid,Molasses,2
Liquid:Molasses,Chalmette,3.9662,Liquid,Molasses,2
Liquid:Molasses,Crockett,0,Liquid,Molasses,2
Liquid:Molasses,Toronto,3.2771,Liquid,Molasses,2
Liquid:Molasses,Yonkers,1.7373,Liquid,Molasses,2
Liquid:Sucrose,Baltimore,9.6558,Liquid,Sucrose,2
Liquid:Sucrose,Chalmette,6.905,Liquid,Sucrose,2
Liquid:Sucrose,Crockett,8.0796,Liquid,Sucrose,2
Liquid:Sucrose,Toronto,22.3155,Liquid,Sucrose,2
Liquid:Sucrose,Yonkers,29.614,Liquid,Sucrose,2
Blending:Dry Blending,Baltimore,0,Blending,Dry Blending,3
Blending:Dry Blending,Chalmette,0,Blending,Dry Blending,3
Blending:Dry Blending,Crockett,0,Blending,Dry Blending,3
Blending:Dry Blending,Toronto,0,Blending,Dry Blending,3
Blending:Dry Blending,Yonkers,1.6256,Blending,Dry Blending,3
Blending:Molasses ,Baltimore,0.6651,Blending,Molasses ,3
Blending:Molasses ,Chalmette,0,Blending,Molasses ,3
Blending:Molasses ,Crockett,0,Blending,Molasses ,3
Blending:Molasses ,Toronto,0,Blending,Molasses ,3
Blending:Molasses ,Yonkers,0,Blending,Molasses ,3
"Packaging:4lb, 5lb, 2kg, 10lb,  Retail Bag System",Baltimore,48.8673,Packaging,"4lb, 5lb, 2kg, 10lb,  Retail Bag System",4
"Packaging:4lb, 5lb, 2kg, 10lb,  Retail Bag System",Chalmette,25.8782,Packaging,"4lb, 5lb, 2kg, 10lb,  Retail Bag System",4
"Packaging:4lb, 5lb, 2kg, 10lb,  Retail Bag System",Crockett,32.7773,Packaging,"4lb, 5lb, 2kg, 10lb,  Retail Bag System",4
"Packaging:4lb, 5lb, 2kg, 10lb,  Retail Bag System",Toronto,11.4116,Packaging,"4lb, 5lb, 2kg, 10lb,  Retail Bag System",4
"Packaging:4lb, 5lb, 2kg, 10lb,  Retail Bag System",Yonkers,21.9375,Packaging,"4lb, 5lb, 2kg, 10lb,  Retail Bag System",4
Packaging:Bulk Loading,Baltimore,7.6151,Packaging,Bulk Loading,4
Packaging:Bulk Loading,Chalmette,6.901,Packaging,Bulk Loading,4
Packaging:Bulk Loading,Crockett,8.3638,Packaging,Bulk Loading,4
Packaging:Bulk Loading,Toronto,21.0497,Packaging,Bulk Loading,4
Packaging:Bulk Loading,Yonkers,2.7147,Packaging,Bulk Loading,4
Packaging:Can Making - Golden Syrup Plant,Baltimore,0,Packaging,Can Making - Golden Syrup Plant,4
Packaging:Can Making - Golden Syrup Plant,Chalmette,0.4668,Packaging,Can Making - Golden Syrup Plant,4
Packaging:Can Making - Golden Syrup Plant,Crockett,0,Packaging,Can Making - Golden Syrup Plant,4
Packaging:Can Making - Golden Syrup Plant,Toronto,0,Packaging,Can Making - Golden Syrup Plant,4
Packaging:Can Making - Golden Syrup Plant,Yonkers,0,Packaging,Can Making - Golden Syrup Plant,4
Packaging:Confects Packaging,Baltimore,27.1804,Packaging,Confects Packaging,4
Packaging:Confects Packaging,Chalmette,10.664,Packaging,Confects Packaging,4
Packaging:Confects Packaging,Crockett,0.6084,Packaging,Confects Packaging,4
